geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0006605	protein targeting	http://amigo.geneontology.org/amigo/term/GO:0006605	412	27	2.1700317374569518	12.442214339059	0	0	293;3921;4736;6125;6134;6135;6136;6142;6143;6146;6156;6158;6159;6161;6175;6187;6192;6193;6194;6202;6203;6206;6207;6222;6227;6228;9045	RPL28;RPL12;RPS2;RPL10;RPS12;RPS8;RPL19;RPS13;RPL11;RPLP0;RPL18A;RPL32;RPL29;RPS18;RPS23;RPS9;RPL5;RPL30;RPS5;RPL14;RPL22;RPSA;RPS21;RPS6;RPL10A;RPS4Y1;SLC25A6
GO:0006401	RNA catabolic process	http://amigo.geneontology.org/amigo/term/GO:0006401	341	28	1.7960699574583023	15.58959320249643	0	0	3669;3921;4736;6125;6134;6135;6136;6142;6143;6146;6156;6158;6159;6161;6175;6187;6192;6193;6194;6202;6203;6206;6207;6222;6227;6228;7832;9045	RPL28;RPL12;RPS2;RPL10;RPS12;RPS8;RPL19;RPS13;RPL11;RPLP0;RPL18A;RPL32;RPL29;RPS18;RPS23;RPS9;RPL5;RPL30;RPS5;RPL14;RPL22;RPSA;RPS21;RPS6;RPL10A;RPS4Y1;ISG20;BTG2
GO:0090150	establishment of protein localization to membrane	http://amigo.geneontology.org/amigo/term/GO:0090150	313	27	1.6485920723884122	16.37761120668469	0	0	3002;3921;4736;6125;6134;6135;6136;6142;6143;6146;6156;6158;6159;6161;6175;6187;6192;6193;6194;6202;6203;6206;6207;6222;6227;6228;9045	RPL28;RPL12;RPS2;RPL10;RPS12;RPS8;RPL19;RPS13;RPL11;RPLP0;RPL18A;RPL32;RPL29;RPS18;RPS23;RPS9;RPL5;RPL30;RPS5;RPL14;RPL22;RPSA;RPS21;RPS6;RPL10A;RPS4Y1;GZMB
GO:0006413	translational initiation	http://amigo.geneontology.org/amigo/term/GO:0006413	192	27	1.0112769261935308	26.698918269230774	0	0	3921;4736;6125;6134;6135;6136;6142;6143;6146;6156;6158;6159;6161;6175;6187;6192;6193;6194;6202;6203;6206;6207;6222;6227;6228;6352;9045	RPL28;RPL12;RPS2;RPL10;RPS12;RPS8;RPL19;RPS13;RPL11;RPLP0;RPL18A;RPL32;RPL29;RPS18;RPS23;RPS9;RPL5;RPL30;RPS5;RPL14;RPL22;RPSA;RPS21;RPS6;CCL5;RPL10A;RPS4Y1
GO:0070972	protein localization to endoplasmic reticulum	http://amigo.geneontology.org/amigo/term/GO:0070972	137	26	0.7215882233776757	36.031630170316305	0	0	3921;4736;6125;6134;6135;6136;6142;6143;6146;6156;6158;6159;6161;6175;6187;6192;6193;6194;6202;6203;6206;6207;6222;6227;6228;9045	RPL28;RPL12;RPS2;RPL10;RPS12;RPS8;RPL19;RPS13;RPL11;RPLP0;RPL18A;RPL32;RPL29;RPS18;RPS23;RPS9;RPL5;RPL30;RPS5;RPL14;RPL22;RPSA;RPS21;RPS6;RPL10A;RPS4Y1
GO:0002181	cytoplasmic translation	http://amigo.geneontology.org/amigo/term/GO:0002181	92	10	0.48457019380106686	20.636845039018954	4.617017879127161e-11	6.540775328763478e-9	4736;6135;6142;6143;6156;6159;6161;6175;6227;6228	RPL19;RPL11;RPLP0;RPL18A;RPL32;RPL29;RPS23;RPL30;RPS21;RPL10A
GO:0022613	ribonucleoprotein complex biogenesis	http://amigo.geneontology.org/amigo/term/GO:0022613	440	16	2.3175096225268415	6.903962703962705	8.923231042956559e-10	1.0835351980732965e-7	3669;3921;4736;6125;6134;6135;6136;6175;6187;6193;6194;6202;6203;6227;6228;9045	RPL12;RPS2;RPL10;RPS8;RPL11;RPLP0;RPS23;RPS9;RPL5;RPS5;RPL14;RPSA;RPS21;RPS6;RPL10A;ISG20
GO:0016072	rRNA metabolic process	http://amigo.geneontology.org/amigo/term/GO:0016072	236	11	1.2430278884462151	8.849358974358974	4.0566912051787085e-8	4.310234405502378e-6	3669;3921;4736;6125;6135;6187;6194;6202;6203;6227;9045	RPS2;RPS8;RPL11;RPS9;RPL5;RPL14;RPSA;RPS21;RPS6;RPL10A;ISG20
GO:0034470	ncRNA processing	http://amigo.geneontology.org/amigo/term/GO:0034470	367	11	1.9330137078803429	5.690595961713129	3.2795103145355498e-6	3.0973152970613523e-4	3669;3921;4736;6125;6135;6187;6194;6202;6203;6227;9045	RPS2;RPS8;RPL11;RPS9;RPL5;RPL14;RPSA;RPS21;RPS6;RPL10A;ISG20
GO:0071887	leukocyte apoptotic process	http://amigo.geneontology.org/amigo/term/GO:0071887	107	6	0.5635762036599364	10.64629762760604	2.0813801633101647e-5	0.00176917313881364	1236;3559;3958;6194;6352;81704	RPS6;LGALS3;CCL5;CCR7;DOCK8;IL2RA
